PC1,PC2,PC3
1522899.3529486656,-18604.8159007321,329968.7145762789
-117130.64866342537,-29147.893332681164,-24849.79090507625
-121437.64513300237,-28502.01936815156,-24992.52958945088
-22259.591901172374,105559.09641846151,60505.12341941543
-111618.55966540592,-26718.919398465034,-23692.950147855347
-112104.84253261746,-26703.04176551146,-22261.05624032688
127946.02434680688,16597.04949430033,115743.56679592383
-76254.30940181739,-32751.444258886346,-15079.866594446452
-120003.0771449815,-28072.893929014554,-23068.854194360887
-102973.01385611216,-22998.93184737801,-16552.698999069013
185367.09607909812,552148.7160123399,121884.06850111738
-121466.6822732415,-28042.427033388485,-23781.480296486705
-72255.685748852,-29850.749914165717,-10590.837793804536
-66872.62084879332,-27088.321197312165,-13701.27813956659
165478.29168131365,11766.761616336575,96729.70653862623
-73275.73784942928,-29896.715960159785,-19596.852360032004
-109976.74849586861,-24871.837993616566,-18367.77108416047
-34380.04398400284,-5495.786894169742,21665.888535334634
-113136.95839787363,-25749.205510762615,-19250.29725881327
-113838.5561755641,-29084.57120857522,-22598.05293108949
-111491.01670524866,-27773.563791431894,-21163.00099418438
-8261.158332249455,-29176.779314300362,-11204.584201537618
-116118.76916039838,-29571.898018548563,-23514.417553776075
